epoch,accuracy,f1_score,learning_rate,loss,val_accuracy,val_f1_score,val_loss
0,0.3051546514034271,0.1464320719242096,0.0010000000474974513,1.8043544292449951,0.5573770403862,0.23851388692855835,1.4695534706115723
1,0.5154638886451721,0.3014940023422241,0.0010000000474974513,1.457870364189148,0.6065573692321777,0.35693860054016113,1.11433744430542
2,0.6185566782951355,0.3775421679019928,0.0010000000474974513,1.1513960361480713,0.8032786846160889,0.5602906346321106,0.786076009273529
3,0.7134020328521729,0.47055691480636597,0.0010000000474974513,0.8858609199523926,0.7540983557701111,0.47200506925582886,0.6360130906105042
4,0.7690721750259399,0.6112364530563354,0.0010000000474974513,0.6665964722633362,0.8852459192276001,0.6698521375656128,0.44803133606910706
5,0.8268041014671326,0.6356533765792847,0.0010000000474974513,0.5399779677391052,0.9344262480735779,0.8232954144477844,0.30423298478126526
6,0.8206185698509216,0.6782913208007812,0.0010000000474974513,0.515910267829895,0.9344262480735779,0.8191396594047546,0.21762312948703766
7,0.861855685710907,0.7255836725234985,0.0010000000474974513,0.4105273187160492,0.9344262480735779,0.8279100060462952,0.1667127013206482
8,0.892783522605896,0.7865399122238159,0.0010000000474974513,0.33427706360816956,0.9344262480735779,0.9501605033874512,0.22503656148910522
9,0.892783522605896,0.8031720519065857,0.0010000000474974513,0.30972862243652344,0.9672130942344666,0.9713541269302368,0.1639769822359085
10,0.9175257682800293,0.859117865562439,0.0010000000474974513,0.2761872708797455,0.9508196711540222,0.8388694524765015,0.10996290296316147
11,0.9319587349891663,0.9169154167175293,0.0010000000474974513,0.20006246864795685,0.9672130942344666,0.9684847593307495,0.10913657397031784
12,0.915463924407959,0.8855981826782227,0.0010000000474974513,0.22676317393779755,0.9836065769195557,0.9917988777160645,0.07838182151317596
13,0.9175257682800293,0.8635517358779907,0.0010000000474974513,0.2085547149181366,0.9672130942344666,0.9684847593307495,0.0954865887761116
14,0.946391761302948,0.9018422365188599,0.0010000000474974513,0.17097046971321106,0.9672130942344666,0.9653845429420471,0.06418783962726593
15,0.929896891117096,0.8739790916442871,0.0010000000474974513,0.1903882771730423,0.9836065769195557,0.9836363196372986,0.09308116883039474
