epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3484536111354828,0.0010000000474974513,1.8300946950912476,0.6393442749977112,1.3867239952087402
1,0.5092783570289612,0.0010000000474974513,1.4784131050109863,0.6393442749977112,1.0332286357879639
2,0.6391752362251282,0.0010000000474974513,1.0741603374481201,0.8196721076965332,0.6585881114006042
3,0.7340205907821655,0.0010000000474974513,0.8578547239303589,0.9344262480735779,0.4868946671485901
4,0.7938144207000732,0.0010000000474974513,0.6458161473274231,0.9508196711540222,0.3239731788635254
5,0.8742268085479736,0.0010000000474974513,0.4218522012233734,0.9508196711540222,0.18676786124706268
6,0.861855685710907,0.0010000000474974513,0.37412306666374207,0.9508196711540222,0.23382195830345154
7,0.9195876121520996,0.0010000000474974513,0.295416921377182,0.9508196711540222,0.1860651671886444
8,0.9195876121520996,0.0010000000474974513,0.26436951756477356,0.9508196711540222,0.1573561728000641
9,0.9319587349891663,0.0010000000474974513,0.21130946278572083,0.9836065769195557,0.12104324251413345
10,0.9319587349891663,0.0010000000474974513,0.1977994292974472,0.9836065769195557,0.11327113211154938
11,0.9360824823379517,0.0010000000474974513,0.2166157364845276,0.9672130942344666,0.1403486281633377
12,0.929896891117096,0.0010000000474974513,0.20535363256931305,0.9836065769195557,0.09413406997919083
13,0.9278350472450256,0.0010000000474974513,0.20047897100448608,0.9836065769195557,0.11421091109514236
14,0.9505154490470886,0.0010000000474974513,0.17123764753341675,0.9836065769195557,0.14471009373664856
15,0.9567010402679443,0.0010000000474974513,0.13066114485263824,0.9836065769195557,0.10034548491239548
16,0.969072163105011,0.0005000000237487257,0.10023162513971329,0.9836065769195557,0.07115601748228073
17,0.9814432859420776,0.0005000000237487257,0.07680780440568924,0.9836065769195557,0.06670383363962173
18,0.977319598197937,0.0005000000237487257,0.07121039181947708,0.9836065769195557,0.08846582472324371
19,0.9876288771629333,0.0005000000237487257,0.06955833733081818,0.9836065769195557,0.08062580227851868
20,0.9731958508491516,0.0005000000237487257,0.08597202599048615,0.9836065769195557,0.0725674256682396
21,0.983505129814148,0.0002500000118743628,0.06202399358153343,0.9836065769195557,0.09275049716234207
22,0.9731958508491516,0.0002500000118743628,0.07950634509325027,0.9836065769195557,0.06858759373426437
