epoch,accuracy,loss,val_accuracy,val_loss
0,0.4020618498325348,1.7738711833953857,0.49180328845977783,1.3663954734802246
1,0.5876288414001465,1.238816261291504,0.6557376980781555,1.0641021728515625
2,0.6783505082130432,1.0038912296295166,0.7377049326896667,0.8565889000892639
3,0.746391773223877,0.759548544883728,0.7213114500045776,0.7544221878051758
4,0.7958762645721436,0.6291558146476746,0.8360655903816223,0.5817858576774597
5,0.8556700944900513,0.537489116191864,0.8360655903816223,0.5868912935256958
6,0.9051546454429626,0.447506844997406,0.9180327653884888,0.3629683554172516
7,0.915463924407959,0.33749017119407654,0.9180327653884888,0.29863545298576355
8,0.929896891117096,0.2859387695789337,0.9344262480735779,0.3126235604286194
9,0.946391761302948,0.21964845061302185,0.9508196711540222,0.24551069736480713
10,0.9443299174308777,0.20332404971122742,0.9344262480735779,0.22869153320789337
11,0.9567010402679443,0.16091103851795197,0.9344262480735779,0.20237058401107788
12,0.9670103192329407,0.1322939097881317,0.9180327653884888,0.21686667203903198
13,0.9731958508491516,0.11902713775634766,0.9508196711540222,0.1714601218700409
14,0.9752577543258667,0.10157620906829834,0.9508196711540222,0.16824451088905334
15,0.983505129814148,0.09969057887792587,0.9672130942344666,0.22235438227653503
16,0.983505129814148,0.08020706474781036,0.9672130942344666,0.1894540637731552
17,0.9938144087791443,0.06793846935033798,0.9672130942344666,0.15597562491893768
18,0.991752564907074,0.05825870856642723,0.9672130942344666,0.15095970034599304
19,0.9814432859420776,0.06883776932954788,0.9672130942344666,0.18391136825084686
20,0.991752564907074,0.05125938355922699,0.9508196711540222,0.17875511944293976
21,0.9896907210350037,0.05693212151527405,0.9508196711540222,0.16447415947914124
