epoch,accuracy,f1_score,learning_rate,loss,val_accuracy,val_f1_score,val_loss
0,0.31134021282196045,0.14822769165039062,0.0010000000474974513,1.8540385961532593,0.5245901346206665,0.27492421865463257,1.516715407371521
1,0.5237113237380981,0.27883413434028625,0.0010000000474974513,1.4107997417449951,0.6229507923126221,0.2823742628097534,0.9452937245368958
2,0.6680412292480469,0.4353199005126953,0.0010000000474974513,1.0183184146881104,0.7540983557701111,0.4992218613624573,0.6361578106880188
3,0.7814432978630066,0.5886898040771484,0.0010000000474974513,0.7161069512367249,0.8360655903816223,0.731696367263794,0.4437965452671051
4,0.8288660049438477,0.6613307595252991,0.0010000000474974513,0.5338942408561707,0.9016393423080444,0.7949076890945435,0.2781117856502533
5,0.876288652420044,0.7472931146621704,0.0010000000474974513,0.37686648964881897,0.9180327653884888,0.9281535148620605,0.330502986907959
6,0.9010308980941772,0.8270667791366577,0.0010000000474974513,0.3272682726383209,0.9344262480735779,0.9369314908981323,0.2034737467765808
7,0.8989690542221069,0.785331666469574,0.0010000000474974513,0.32129937410354614,0.9508196711540222,0.8470622301101685,0.14529800415039062
8,0.9505154490470886,0.8836292028427124,0.0010000000474974513,0.2093428522348404,0.9836065769195557,0.9848483800888062,0.08699052780866623
9,0.9484536051750183,0.922866702079773,0.0010000000474974513,0.16516262292861938,0.9672130942344666,0.9684847593307495,0.1180521547794342
10,0.9711340069770813,0.9587441682815552,0.0010000000474974513,0.1095656305551529,1.0,0.9999999403953552,0.0433184914290905
11,0.9711340069770813,0.9418566226959229,0.0010000000474974513,0.1040157824754715,1.0,0.9999999403953552,0.03467123955488205
12,0.9793814420700073,0.9756470918655396,0.0010000000474974513,0.08183474093675613,0.9672130942344666,0.9684847593307495,0.07837029546499252
13,0.9814432859420776,0.9781014919281006,0.0010000000474974513,0.07375840097665787,0.9836065769195557,0.9848483800888062,0.04313977062702179
14,0.9752577543258667,0.9737591743469238,0.0010000000474974513,0.07283785939216614,1.0,0.9999999403953552,0.016943704336881638
15,0.9793814420700073,0.9654437303543091,0.0010000000474974513,0.08767349272966385,0.9836065769195557,0.9848483800888062,0.0756140649318695
16,0.9814432859420776,0.9568091034889221,0.0010000000474974513,0.05841907113790512,0.9672130942344666,0.9684847593307495,0.065177321434021
17,0.983505129814148,0.9728933572769165,0.0010000000474974513,0.06306275725364685,1.0,0.9999999403953552,0.01393740065395832
18,0.977319598197937,0.9624843597412109,0.0010000000474974513,0.06361746788024902,0.9672130942344666,0.9739092588424683,0.06565110385417938
19,0.9896907210350037,0.9830876588821411,0.0010000000474974513,0.047821689397096634,0.9836065769195557,0.9836363196372986,0.034405119717121124
20,0.983505129814148,0.9618791341781616,0.0010000000474974513,0.048961397260427475,1.0,0.9999999403953552,0.012525706551969051
21,0.991752564907074,0.9934255480766296,0.0010000000474974513,0.04540683701634407,0.9836065769195557,0.9836363196372986,0.07117591798305511
22,0.9876288771629333,0.975821316242218,0.0010000000474974513,0.04568484425544739,0.9836065769195557,0.9848483800888062,0.06339021027088165
23,0.9876288771629333,0.979977011680603,0.0010000000474974513,0.043032608926296234,0.9836065769195557,0.9814814329147339,0.029664622619748116
24,0.991752564907074,0.9790887236595154,0.0005000000237487257,0.032963305711746216,1.0,0.9999999403953552,0.022196954116225243
