epoch,accuracy,f1_score,learning_rate,loss,val_accuracy,val_f1_score,val_loss
0,0.3298968970775604,0.16007280349731445,0.0010000000474974513,1.8097925186157227,0.5737704634666443,0.24296534061431885,1.4672778844833374
1,0.5567010045051575,0.33430415391921997,0.0010000000474974513,1.37827730178833,0.688524603843689,0.3735293745994568,0.9230890274047852
2,0.7072165012359619,0.4965836703777313,0.0010000000474974513,0.9191907644271851,0.8196721076965332,0.6209762096405029,0.5474647283554077
3,0.7752577066421509,0.6018227934837341,0.0010000000474974513,0.7173145413398743,0.9180327653884888,0.7074618339538574,0.40973830223083496
4,0.8515464067459106,0.7349092364311218,0.0010000000474974513,0.4506564736366272,0.9344262480735779,0.9515120983123779,0.25171399116516113
5,0.8886597752571106,0.8503947257995605,0.0010000000474974513,0.3342241942882538,0.9508196711540222,0.8370195627212524,0.1420758068561554
6,0.929896891117096,0.8533965349197388,0.0010000000474974513,0.25199413299560547,0.9672130942344666,0.9684847593307495,0.15427885949611664
7,0.9134020805358887,0.8595002293586731,0.0010000000474974513,0.2600473463535309,0.9672130942344666,0.9766536951065063,0.12177165597677231
8,0.938144326210022,0.915022611618042,0.0010000000474974513,0.2020692229270935,0.9180327653884888,0.9347010850906372,0.1521937996149063
9,0.9402061700820923,0.9216712713241577,0.0010000000474974513,0.17909489572048187,0.9836065769195557,0.9848483800888062,0.07890196889638901
10,0.9525772929191589,0.9294155836105347,0.0010000000474974513,0.15284399688243866,0.9836065769195557,0.9848483800888062,0.09738963097333908
11,0.960824728012085,0.9447232484817505,0.0010000000474974513,0.12164167314767838,0.9836065769195557,0.9848483800888062,0.0679166167974472
12,0.9711340069770813,0.9473190307617188,0.0010000000474974513,0.10138941556215286,0.9836065769195557,0.9848483800888062,0.06383099406957626
13,0.985567033290863,0.9807412624359131,0.0010000000474974513,0.0644388347864151,0.9672130942344666,0.9663299322128296,0.05873221158981323
14,0.9876288771629333,0.9914321899414062,0.0010000000474974513,0.05443739518523216,0.9836065769195557,0.9848483800888062,0.058580297976732254
15,0.9670103192329407,0.9310300946235657,0.0010000000474974513,0.09999940544366837,0.9344262480735779,0.8401178121566772,0.2018510103225708
16,0.9567010402679443,0.8628600239753723,0.0010000000474974513,0.1393117755651474,0.9836065769195557,0.9825396537780762,0.1369805783033371
17,0.9731958508491516,0.9596762657165527,0.0010000000474974513,0.10286135226488113,0.9836065769195557,0.9848483800888062,0.0986076146364212
18,0.983505129814148,0.9782435297966003,0.0005000000237487257,0.06355662643909454,0.9836065769195557,0.9848483800888062,0.05759689584374428
19,0.991752564907074,0.9936764240264893,0.0005000000237487257,0.04310277849435806,0.9836065769195557,0.9848483800888062,0.047982875257730484
20,0.991752564907074,0.9861389398574829,0.0005000000237487257,0.02745128981769085,1.0,0.9999999403953552,0.023588255047798157
21,0.9938144087791443,0.9957648515701294,0.0005000000237487257,0.028621982783079147,0.9836065769195557,0.9848483800888062,0.025643324479460716
22,0.991752564907074,0.9930029511451721,0.0005000000237487257,0.031980857253074646,0.9836065769195557,0.9848483800888062,0.03743622824549675
23,0.9938144087791443,0.987523078918457,0.0005000000237487257,0.02198701910674572,0.9836065769195557,0.9848483800888062,0.04815332964062691
24,0.991752564907074,0.983847975730896,0.0002500000118743628,0.03525015711784363,0.9836065769195557,0.9848483800888062,0.030336450785398483
