epoch,accuracy,f1_score,learning_rate,loss,val_accuracy,val_f1_score,val_loss
0,0.3195876181125641,0.14738798141479492,0.0010000000474974513,1.8329957723617554,0.5901639461517334,0.25351622700691223,1.5125352144241333
1,0.4927835166454315,0.2432137280702591,0.0010000000474974513,1.4831078052520752,0.6557376980781555,0.38674238324165344,1.1132739782333374
2,0.6061855554580688,0.3572641611099243,0.0010000000474974513,1.2279640436172485,0.7377049326896667,0.40909940004348755,0.8818143010139465
3,0.6783505082130432,0.4199199378490448,0.0010000000474974513,0.9901034235954285,0.8360655903816223,0.6114417314529419,0.7059690356254578
4,0.7195876240730286,0.45870476961135864,0.0010000000474974513,0.8591545820236206,0.8032786846160889,0.6493762731552124,0.5819495320320129
5,0.7587628960609436,0.526671826839447,0.0010000000474974513,0.6943022012710571,0.8524590134620667,0.6494366526603699,0.4167020618915558
6,0.7876288890838623,0.618278443813324,0.0010000000474974513,0.6102280020713806,0.9180327653884888,0.8205146193504333,0.3532601296901703
7,0.8556700944900513,0.6872676014900208,0.0010000000474974513,0.5101628303527832,0.9180327653884888,0.8149604201316833,0.3294830620288849
8,0.870103120803833,0.7340192794799805,0.0010000000474974513,0.43877342343330383,0.9180327653884888,0.8153558969497681,0.25676286220550537
9,0.8804123997688293,0.6993292570114136,0.0010000000474974513,0.3654806613922119,0.9180327653884888,0.8127648830413818,0.1983312964439392
10,0.8824742436408997,0.7262997627258301,0.0010000000474974513,0.36211299896240234,0.9344262480735779,0.9515120983123779,0.19728226959705353
11,0.8969072103500366,0.8326107263565063,0.0010000000474974513,0.31506967544555664,0.9344262480735779,0.9515120983123779,0.18865779042243958
12,0.9216494560241699,0.8697764873504639,0.0010000000474974513,0.2710660994052887,0.9508196711540222,0.9590569734573364,0.17816957831382751
13,0.9216494560241699,0.8316729068756104,0.0010000000474974513,0.2521668076515198,0.9508196711540222,0.9648692607879639,0.11607078462839127
14,0.9443299174308777,0.8878509998321533,0.0010000000474974513,0.19104111194610596,0.9836065769195557,0.9848483800888062,0.12665262818336487
15,0.946391761302948,0.8794498443603516,0.0010000000474974513,0.15626530349254608,0.9672130942344666,0.9733946323394775,0.0907631367444992
16,0.954639196395874,0.9048035144805908,0.0010000000474974513,0.14150504767894745,0.9672130942344666,0.9733946323394775,0.08900261670351028
17,0.9587628841400146,0.9355729818344116,0.0010000000474974513,0.14378760755062103,0.9672130942344666,0.9663299322128296,0.08115363866090775
18,0.954639196395874,0.9343270659446716,0.0010000000474974513,0.1510486900806427,0.9836065769195557,0.9848483800888062,0.07213246077299118
19,0.9649484753608704,0.93756103515625,0.0010000000474974513,0.11931891739368439,0.9836065769195557,0.9848483800888062,0.06784358620643616
20,0.9793814420700073,0.9729536771774292,0.0010000000474974513,0.10040046274662018,0.9672130942344666,0.9663299322128296,0.0837516263127327
21,0.969072163105011,0.9458922147750854,0.0010000000474974513,0.09937344491481781,0.9836065769195557,0.9848483800888062,0.06627148389816284
22,0.969072163105011,0.9581912755966187,0.0010000000474974513,0.08819935470819473,0.9672130942344666,0.9684847593307495,0.08288207650184631
23,0.9587628841400146,0.9271143674850464,0.0010000000474974513,0.10139460861682892,0.9508196711540222,0.8388694524765015,0.08938540518283844
24,0.960824728012085,0.9162895083427429,0.0010000000474974513,0.12070787698030472,0.9672130942344666,0.9762833118438721,0.07046505063772202
